repo,name,version,appVersion,updatedAt
main,gitea,2.1.6,1.13.1,2021-01-13T23:46:45.000Z
main,ingress-nginx,3.20.1,0.43.0,2021-01-14T04:47:46.000Z
main,kube-prometheus,3.4.0,0.44.1,2021-01-14T04:47:46.000Z
main,redis,12.5.0,6.0.9,2021-01-14T05:58:21.000Z
main,redis,12.5.1,6.0.10,2021-01-15T02:46:50.000Z
main,openebs,2.5.0,2.5.0,2021-01-15T06:42:57.000Z
main,redis,12.6.0,6.0.10,2021-01-16T07:26:30.000Z
main,seaweedfs,2.21,2.21,2021-01-18T01:47:29.000Z
main,hazelcast,3.5.3,4.1.1,2021-01-18T02:49:34.000Z
main,kube-prometheus,3.4.1,0.44.1,2021-01-18T02:49:34.000Z
main,redis,12.6.1,6.0.10,2021-01-19T03:47:01.000Z
main,hazelcast,3.5.4,4.1.1,2021-01-19T07:33:02.000Z
main,kube-prometheus,3.4.2,0.44.1,2021-01-20T01:52:21.000Z
main,redis,12.6.2,6.0.10,2021-01-20T02:52:00.000Z
main,gitea,2.1.7,1.13.1,2021-01-20T03:47:13.000Z
main,ingress-nginx,3.21.0,0.43.0,2021-01-20T11:26:35.000Z
main,gitea,2.1.8,1.13.1,2021-01-21T08:18:50.000Z
main,metallb,2.1.2,0.9.5,2021-01-21T19:42:14.000Z
main,redis,12.6.3,6.0.10,2021-01-21T19:42:14.000Z
main,gitea,2.1.9,1.13.1,2021-01-22T00:44:03.000Z
main,consul,0.29.0,1.9.2,2021-01-22T13:12:38.000Z
main,kube-prometheus,3.5.0,0.45.0,2021-01-24T05:49:14.000Z
main,seaweedfs,2.22,2.22,2021-01-24T14:07:30.000Z
main,hazelcast,3.5.5,4.1.1,2021-01-25T01:54:43.000Z
main,redis,12.6.4,6.0.10,2021-01-25T02:52:25.000Z
main,hazelcast,3.5.6,4.1.1,2021-01-25T04:39:37.000Z
main,cockroachdb,5.0.4,20.2.4,2021-01-25T08:52:51.000Z
main,ambassador,6.5.17,1.11.0,2021-01-27T11:11:22.000Z
main,metallb,2.2.0,0.9.5,2021-01-28T05:54:37.000Z
main,ingress-nginx,3.22.0,0.43.0,2021-01-28T06:22:32.000Z
main,redis,12.7.0,6.0.10,2021-01-28T07:47:57.000Z
main,kube-prometheus,3.6.0,0.45.0,2021-01-28T13:46:11.000Z
main,seaweedfs,2.23,2.23,2021-01-31T20:22:26.000Z
main,kube-prometheus,3.6.1,0.45.0,2021-02-01T02:50:02.000Z
main,kube-prometheus,3.7.0,0.45.0,2021-02-01T08:27:45.000Z
main,openebs,2.5.1,2.5.0,2021-02-01T21:47:47.000Z
main,redis,12.7.1,6.0.10,2021-02-02T09:33:50.000Z
main,kube-prometheus,4.0.0,0.45.0,2021-02-02T11:06:29.000Z
main,redis,12.7.2,6.0.10,2021-02-02T11:35:04.000Z
main,vault,0.9.1,1.6.2,2021-02-02T11:46:05.000Z
